iter	Passed	Remaining
166	680	3395
167	684	3390
168	688	3384
169	692	3379
170	696	3376
171	700	3372
172	704	3369
173	708	3365
174	713	3361
175	717	3358
176	721	3353
177	725	3348
178	729	3345
179	733	3341
180	737	3336
181	742	3336
182	746	3333
183	750	3330
184	754	3326
185	760	3326
186	764	3324
187	769	3321
188	773	3318
189	777	3316
190	782	3313
191	786	3308
192	790	3304
193	794	3301
194	798	3298
195	803	3294
196	807	3292
197	812	3290
198	816	3287
199	820	3282
200	825	3282
201	830	3280
202	834	3276
203	839	3277
204	844	3275
205	848	3270
206	853	3268
207	859	3271
208	864	3270
209	868	3268
210	874	3270
211	879	3268
212	883	3266
213	890	3272
214	895	3269
215	899	3265
216	904	3263
217	909	3262
218	914	3260
219	919	3259
220	924	3257
221	929	3257
222	934	3255
223	940	3256
224	944	3254
225	949	3252
226	955	3254
227	961	3256
228	966	3254
229	972	3255
230	977	3252
231	981	3249
232	987	3250
233	992	3248
234	996	3244
235	1001	3242
236	1006	3239
237	1010	3236
238	1015	3232
239	1020	3230
240	1024	3226
241	1028	3222
242	1033	3219
243	1038	3216
244	1042	3213
245	1047	3209
246	1052	3207
247	1057	3205
248	1061	3201
249	1065	3197
250	1070	3194
251	1075	3192
252	1080	3189
253	1085	3188
254	1090	3185
255	1095	3182
256	1100	3181
257	1105	3178
258	1109	3175
259	1115	3174
260	1120	3172
261	1125	3169
262	1128	3162
263	1133	3161
264	1139	3160
265	1144	3157
266	1149	3155
267	1154	3153
268	1159	3151
269	1165	3150
270	1170	3147
271	1174	3144
272	1179	3141
273	1185	3139
274	1190	3137
275	1195	3134
276	1200	3132
277	1205	3129
278	1209	3125
279	1215	3125
280	1220	3122
281	1224	3118
282	1229	3116
283	1234	3113
284	1239	3109
285	1244	3106
286	1249	3104
287	1254	3101
288	1259	3097
289	1266	3101
290	1271	3098
291	1276	3096
292	1281	3093
293	1287	3091
294	1292	3089
295	1298	3087
296	1303	3084
297	1307	3080
298	1314	3082
299	1319	3079
300	1325	3077
301	1330	3074
302	1335	3071
303	1340	3068
304	1346	3067
305	1350	3063
306	1355	3060
307	1362	3060
308	1367	3058
309	1372	3054
310	1378	3054
311	1383	3051
312	1388	3048
313	1394	3046
314	1399	3043
315	1404	3040
316	1410	3038
317	1415	3035
318	1420	3032
319	1425	3029
320	1430	3026
321	1435	3023
322	1441	3021
323	1447	3019
324	1452	3016
325	1457	3014
326	1463	3012
327	1468	3008
328	1473	3006
329	1479	3003
330	1484	3001
331	1491	3000
332	1496	2997
333	1501	2993
334	1508	2994
335	1513	2991
336	1518	2988
337	1524	2986
338	1530	2984
339	1535	2981
340	1541	2979
341	1556	2993
342	1572	3011
343	1580	3014
344	1586	3012
345	1592	3009
346	1598	3007
347	1605	3007
348	1611	3005
349	1616	3002
350	1622	3000
351	1628	2998
352	1634	2995
353	1640	2992
354	1645	2990
355	1652	2989
356	1658	2986
357	1663	2983
358	1669	2981
359	1675	2978
360	1680	2975
361	1686	2973
362	1692	2970
363	1698	2967
364	1705	2966
365	1712	2965
366	1718	2964
367	1724	2962
368	1732	2962
369	1738	2960
370	1744	2957
371	1751	2957
372	1757	2954
373	1763	2952
374	1770	2950
375	1776	2947
376	1782	2945
377	1787	2941
378	1793	2937
379	1798	2935
380	1804	2931
381	1810	2928
382	1814	2923
383	1820	2920
384	1826	2917
385	1832	2914
386	1838	2911
387	1843	2907
388	1849	2905
389	1856	2903
390	1863	2902
391	1869	2900
392	1875	2896
393	1882	2894
394	1887	2891
395	1892	2887
396	1898	2884
397	1905	2882
398	1911	2879
399	1918	2877
400	1924	2875
401	1932	2874
402	1937	2870
403	1945	2870
404	1951	2867
405	1958	2864
406	1965	2863
407	1971	2861
408	1979	2860
409	1985	2857
410	1992	2855
411	1998	2852
412	2005	2849
413	2012	2849
414	2019	2846
415	2026	2844
416	2032	2841
417	2038	2838
418	2051	2844
419	2058	2842
420	2065	2840
421	2071	2837
422	2078	2834
423	2083	2830
424	2089	2826
425	2095	2822
426	2100	2818
427	2105	2813
428	2110	2809
429	2115	2804
430	2120	2799
431	2126	2795
432	2131	2790
433	2136	2786
434	2142	2782
435	2147	2777
436	2151	2771
437	2156	2767
438	2161	2762
439	2166	2757
440	2172	2753
441	2177	2749
442	2182	2744
443	2187	2739
444	2193	2736
445	2199	2731
446	2204	2726
447	2209	2722
448	2214	2717
449	2219	2712
450	2224	2708
451	2229	2703
452	2234	2698
453	2239	2693
454	2245	2689
455	2250	2684
456	2255	2679
457	2260	2674
458	2265	2669
459	2270	2664
460	2275	2660
461	2280	2655
462	2285	2650
463	2290	2646
464	2295	2641
465	2301	2637
466	2307	2633
467	2312	2628
468	2317	2623
469	2322	2619
470	2328	2615
471	2333	2610
472	2338	2605
473	2343	2601
474	2349	2596
475	2354	2592
476	2359	2587
477	2364	2582
478	2370	2578
479	2375	2573
480	2388	2576
481	2394	2573
482	2404	2574
483	2418	2578
484	2429	2580
485	2439	2579
486	2446	2577
487	2452	2573
488	2458	2569
489	2464	2564
490	2470	2560
491	2482	2562
492	2490	2561
493	2501	2561
494	2506	2557
495	2513	2553
496	2519	2549
497	2526	2546
498	2532	2542
499	2538	2538
500	2543	2533
501	2549	2528
502	2554	2523
503	2559	2518
504	2565	2514
505	2570	2509
506	2576	2504
507	2581	2500
508	2587	2495
509	2593	2491
510	2598	2486
511	2604	2482
512	2610	2477
513	2615	2473
514	2621	2469
515	2627	2464
516	2633	2460
517	2639	2455
518	2647	2453
519	2652	2448
520	2658	2444
521	2664	2439
522	2670	2435
523	2675	2430
524	2682	2427
525	2689	2423
526	2697	2420
527	2703	2417
528	2710	2413
529	2717	2409
530	2723	2405
531	2729	2401
532	2735	2397
533	2741	2392
534	2747	2387
535	2753	2383
536	2759	2378
537	2764	2374
538	2770	2369
539	2776	2365
540	2781	2359
541	2786	2354
542	2792	2350
543	2799	2346
544	2808	2344
545	2813	2339
546	2819	2334
547	2824	2330
548	2829	2324
549	2835	2319
550	2840	2314
551	2846	2310
552	2851	2304
553	2856	2299
554	2861	2294
555	2867	2289
556	2872	2284
557	2879	2280
558	2885	2276
559	2891	2271
560	2896	2266
561	2902	2262
562	2908	2257
563	2913	2252
564	2920	2248
565	2927	2244
566	2932	2239
567	2938	2234
568	2943	2229
569	2948	2224
570	2954	2219
571	2959	2214
572	2964	2208
573	2969	2204
574	2974	2198
575	2979	2193
576	2985	2188
577	2990	2183
578	2995	2178
579	3001	2173
580	3006	2168
581	3011	2162
582	3016	2157
583	3022	2152
584	3027	2147
585	3032	2142
586	3037	2137
587	3042	2132
588	3047	2126
589	3053	2121
590	3058	2116
591	3063	2111
592	3069	2106
593	3075	2101
594	3082	2098
595	3088	2093
596	3093	2088
597	3099	2083
598	3105	2079
599	3111	2074
600	3118	2070
601	3124	2065
602	3130	2060
603	3136	2056
604	3141	2050
605	3146	2046
606	3153	2041
607	3159	2036
608	3165	2032
609	3171	2027
610	3175	2022
611	3181	2017
612	3187	2012
613	3193	2007
614	3198	2002
615	3203	1997
616	3209	1992
617	3214	1987
618	3219	1981
619	3225	1976
620	3230	1971
621	3235	1965
622	3239	1960
623	3245	1955
624	3250	1950
625	3255	1945
626	3261	1940
627	3266	1934
628	3271	1929
629	3276	1924
630	3281	1918
631	3286	1913
632	3291	1908
633	3297	1903
634	3302	1898
635	3307	1893
636	3313	1888
637	3318	1882
638	3323	1877
639	3327	1871
640	3333	1866
641	3337	1861
642	3342	1855
643	3347	1850
644	3352	1845
645	3358	1840
646	3363	1834
647	3367	1829
648	3372	1824
649	3378	1819
650	3383	1813
651	3388	1808
652	3394	1803
653	3399	1798
654	3405	1793
655	3410	1788
656	3415	1783
657	3420	1777
658	3425	1772
659	3430	1767
660	3435	1761
661	3440	1756
662	3446	1751
663	3451	1746
664	3456	1741
665	3461	1736
666	3466	1730
667	3471	1725
668	3477	1720
669	3482	1715
670	3487	1709
671	3492	1704
672	3498	1699
673	3503	1694
674	3508	1689
675	3513	1684
676	3519	1678
677	3524	1674
678	3530	1669
679	3536	1664
680	3541	1659
681	3546	1653
682	3551	1648
683	3556	1643
684	3561	1637
685	3566	1632
686	3571	1627
687	3576	1622
688	3581	1616
689	3587	1611
690	3591	1606
691	3596	1600
692	3602	1595
693	3607	1590
694	3612	1585
695	3617	1580
696	3622	1574
697	3627	1569
698	3632	1564
699	3638	1559
700	3643	1553
701	3648	1548
702	3653	1543
703	3658	1538
704	3663	1532
705	3668	1527
706	3673	1522
707	3678	1517
708	3684	1512
709	3689	1506
710	3694	1501
711	3701	1497
712	3706	1491
713	3711	1486
714	3716	1481
715	3721	1476
716	3726	1470
717	3731	1465
718	3736	1460
719	3741	1454
720	3746	1449
721	3751	1444
722	3756	1439
723	3761	1434
724	3766	1428
725	3771	1423
726	3777	1418
727	3783	1413
728	3788	1408
729	3792	1402
730	3798	1397
731	3803	1392
732	3807	1386
733	3812	1381
734	3817	1376
735	3822	1371
736	3827	1365
737	3832	1360
738	3837	1355
739	3841	1349
740	3847	1344
741	3852	1339
742	3857	1334
743	3862	1329
744	3867	1323
745	3873	1318
746	3878	1313
747	3883	1308
748	3888	1303
749	3893	1297
750	3898	1292
751	3903	1287
752	3908	1281
753	3912	1276
754	3917	1271
755	3922	1265
756	3927	1260
757	3932	1255
758	3937	1250
759	3942	1245
760	3947	1239
761	3952	1234
762	3957	1229
763	3963	1224
764	3967	1218
765	3972	1213
766	3977	1208
767	3982	1203
768	3987	1197
769	3992	1192
770	3997	1187
771	4002	1181
772	4007	1176
773	4011	1171
774	4016	1166
775	4021	1160
776	4026	1155
777	4031	1150
778	4036	1145
779	4041	1140
780	4046	1134
781	4051	1129
782	4056	1124
783	4061	1119
784	4066	1113
785	4072	1108
786	4077	1103
787	4082	1098
788	4087	1093
789	4092	1088
790	4098	1082
791	4103	1077
792	4108	1072
793	4113	1067
794	4117	1061
795	4123	1056
796	4127	1051
797	4132	1046
798	4138	1040
799	4142	1035
800	4147	1030
801	4153	1025
802	4158	1020
803	4162	1014
804	4167	1009
805	4173	1004
806	4178	999
807	4183	994
808	4189	989
809	4194	984
810	4200	978
811	4206	973
812	4212	968
813	4217	963
814	4222	958
815	4228	953
816	4234	948
817	4239	943
818	4245	938
819	4251	933
820	4257	928
821	4262	923
822	4268	917
823	4273	912
824	4279	907
825	4284	902
826	4289	897
827	4295	892
828	4301	887
829	4306	882
830	4311	876
831	4316	871
832	4322	866
833	4328	861
834	4333	856
835	4339	851
836	4345	846
837	4350	841
838	4356	835
839	4362	831
840	4368	825
841	4374	820
842	4379	815
843	4385	810
844	4390	805
845	4395	800
846	4401	795
847	4406	789
848	4411	784
849	4415	779
850	4421	774
851	4425	768
852	4431	763
853	4435	758
854	4440	753
855	4445	747
856	4450	742
857	4455	737
858	4461	732
859	4466	727
860	4472	721
861	4477	716
862	4483	711
863	4488	706
864	4494	701
865	4499	696
866	4505	691
867	4510	685
868	4515	680
869	4520	675
870	4526	670
871	4534	665
872	4539	660
873	4544	655
874	4550	650
875	4555	644
876	4561	639
877	4566	634
878	4571	629
879	4577	624
880	4582	618
881	4587	613
882	4592	608
883	4597	603
884	4602	598
885	4607	592
886	4612	587
887	4617	582
888	4623	577
889	4628	572
890	4633	566
891	4638	561
892	4643	556
893	4648	551
894	4653	545
895	4658	540
896	4663	535
897	4668	530
898	4673	525
899	4678	519
900	4683	514
901	4688	509
902	4693	504
903	4698	498
904	4703	493
905	4708	488
906	4713	483
907	4718	478
908	4723	472
909	4728	467
910	4734	462
911	4738	457
912	4744	452
913	4749	446
914	4753	441
915	4759	436
916	4764	431
917	4769	426
918	4774	420
919	4779	415
920	4783	410
921	4788	405
922	4793	399
923	4798	394
924	4803	389
925	4808	384
926	4813	379
927	4818	373
928	4823	368
929	4828	363
930	4833	358
931	4837	352
932	4842	347
933	4847	342
934	4852	337
935	4857	332
936	4863	326
937	4868	321
938	4873	316
939	4878	311
940	4884	306
941	4888	301
942	4893	295
943	4898	290
944	4903	285
945	4909	280
946	4914	275
947	4919	269
948	4924	264
949	4929	259
950	4934	254
951	4939	249
952	4944	243
953	4949	238
954	4954	233
955	4958	228
956	4964	223
957	4969	217
958	4974	212
959	4979	207
960	4983	202
961	4988	197
962	4993	191
963	4998	186
964	5003	181
965	5008	176
966	5013	171
967	5018	165
968	5023	160
969	5030	155
970	5035	150
971	5040	145
972	5045	140
973	5050	134
974	5055	129
975	5060	124
976	5065	119
977	5070	114
978	5075	108
979	5080	103
980	5084	98
981	5089	93
982	5094	88
983	5099	82
984	5104	77
985	5109	72
986	5114	67
987	5119	62
988	5124	57
989	5130	51
990	5134	46
991	5139	41
992	5145	36
993	5150	31
994	5155	25
995	5161	20
996	5166	15
997	5171	10
998	5176	5
999	5181	0
