iter	Passed	Remaining
0	3	3968
1	7	3581
2	9	3236
3	13	3393
4	16	3357
5	20	3400
6	23	3337
7	27	3357
8	31	3426
9	34	3420
10	37	3392
11	40	3367
12	45	3464
13	49	3454
14	52	3442
15	54	3362
16	57	3318
17	63	3451
18	103	5323
19	111	5454
20	119	5583
21	127	5683
22	133	5687
23	139	5664
24	146	5697
25	151	5662
26	156	5624
27	161	5608
28	166	5585
29	171	5548
30	179	5607
31	184	5570
32	188	5518
33	192	5473
34	196	5406
35	199	5345
36	202	5281
37	206	5231
38	210	5175
39	213	5120
40	216	5066
41	225	5152
42	231	5143
43	240	5215
44	244	5196
45	248	5145
46	251	5092
47	254	5042
48	257	5005
49	261	4962
50	264	4925
51	267	4882
52	271	4849
53	274	4813
54	278	4777
55	281	4741
56	284	4705
57	287	4674
58	291	4643
59	294	4615
60	297	4583
61	300	4552
62	304	4531
63	307	4503
64	311	4480
65	314	4454
66	317	4426
67	321	4410
68	325	4387
69	328	4367
70	332	4344
71	335	4324
72	339	4306
73	342	4287
74	345	4267
75	349	4248
76	354	4246
77	357	4227
78	361	4210
79	364	4195
80	368	4186
81	372	4168
82	376	4154
83	379	4139
84	382	4122
85	386	4111
86	390	4097
87	394	4086
88	397	4067
89	400	4053
90	404	4039
91	408	4026
92	411	4012
93	414	3998
94	419	3992
95	422	3978
96	425	3965
97	429	3949
98	432	3937
99	436	3928
100	439	3915
101	443	3903
102	446	3888
103	450	3882
104	453	3869
105	457	3856
106	460	3842
107	463	3828
108	468	3826
109	471	3812
110	474	3800
111	477	3786
112	481	3777
113	484	3768
114	488	3756
115	491	3744
116	494	3733
117	499	3733
118	502	3722
119	505	3710
120	509	3699
121	512	3687
122	519	3701
123	522	3692
124	526	3684
125	530	3677
126	533	3669
127	537	3660
128	540	3649
129	543	3639
130	547	3631
131	551	3623
132	554	3613
133	557	3603
134	560	3593
135	565	3589
136	568	3581
137	571	3572
138	575	3562
139	578	3556
140	582	3549
141	586	3541
142	589	3532
143	592	3525
144	597	3523
145	601	3516
146	604	3508
147	608	3501
148	612	3497
149	616	3492
150	619	3484
151	623	3476
152	626	3469
153	630	3465
154	634	3458
155	637	3447
156	640	3440
157	644	3436
158	648	3431
159	652	3426
160	656	3420
161	660	3419
162	665	3415
163	669	3410
164	672	3404
165	676	3399
