iter	Logloss
0	0.6431870117
1	0.5969405518
2	0.5607689209
3	0.5221203613
4	0.4933295898
5	0.4579455566
6	0.4317257996
7	0.4037000122
8	0.379495636
9	0.3560214233
10	0.3367106934
11	0.3188553772
12	0.2984213867
13	0.2822738647
14	0.2643189392
15	0.2551738129
16	0.2457681885
17	0.2341697235
18	0.223819809
19	0.2135274658
20	0.2051972656
21	0.1966158752
22	0.1905641785
23	0.1829109344
24	0.1767415161
25	0.1707882233
26	0.1642534485
27	0.1582797852
28	0.1507501831
29	0.1473068237
30	0.1423650208
31	0.139252121
32	0.1347483826
33	0.1307459259
34	0.1274447327
35	0.1245765381
36	0.1206361542
37	0.1174377136
38	0.1152569733
39	0.1136653748
40	0.1109384689
41	0.1087556763
42	0.1071021576
43	0.1048891754
44	0.1033003006
45	0.1013993607
46	0.09998460388
47	0.09908074951
48	0.09778756714
49	0.09649362946
50	0.09521385193
51	0.09359516907
52	0.09247940063
53	0.0916470108
54	0.09104275513
55	0.08991993713
56	0.08874562073
57	0.08797605896
58	0.08724755859
59	0.08628397369
60	0.08531860352
61	0.08474134064
62	0.08379257965
63	0.08318861389
64	0.08270727539
65	0.08210745239
66	0.08161148071
67	0.08103567505
68	0.08052790833
69	0.07972723389
70	0.07911585236
71	0.07852954865
72	0.07799845886
73	0.07766976166
74	0.07715733337
75	0.07689714813
76	0.0765734024
77	0.0762204895
78	0.0758989563
79	0.07546211243
80	0.07509674072
81	0.07482621765
82	0.07437205505
83	0.07412754822
84	0.07388883209
85	0.07361220551
86	0.07335784912
87	0.07314636993
88	0.07298208618
89	0.07276751709
90	0.07266371918
91	0.07231339264
92	0.07201918793
93	0.07169709778
94	0.07140072632
95	0.07113358307
96	0.07087641907
97	0.0704769516
98	0.07028575134
99	0.07003765869
100	0.06981076813
101	0.06965763855
102	0.06952236938
103	0.06941178894
104	0.06921659851
105	0.0689380188
106	0.06868815613
107	0.0685566864
108	0.06848547363
109	0.06832576752
110	0.06804434204
111	0.06778461456
112	0.06764373779
113	0.06748905945
114	0.06723339081
115	0.06693740082
116	0.06684788513
117	0.06658360291
118	0.06646001434
119	0.06637468719
120	0.06631466675
121	0.06618339539
122	0.0659855957
123	0.06580606079
124	0.06567529297
125	0.06555110168
126	0.06538334656
127	0.06526690674
128	0.06516903687
129	0.06510232544
130	0.06506182861
131	0.0649407196
132	0.06483355713
133	0.06462705994
134	0.06454429626
135	0.06446277618
136	0.06436816406
137	0.06425531006
138	0.06416477203
139	0.06408042908
140	0.06403396606
141	0.06396960449
142	0.06391439819
143	0.06378395462
144	0.06367176056
145	0.0635214653
146	0.06340241623
147	0.06331311417
148	0.06311451721
149	0.0630007782
150	0.06296220779
151	0.06287275696
152	0.06277722931
153	0.0626441803
154	0.06256238556
155	0.06254889297
156	0.06251834106
157	0.06246606064
158	0.06237807083
159	0.06230015182
160	0.06221438599
161	0.06218933105
162	0.06206584549
163	0.06192981339
164	0.06186726379
165	0.06172955322
166	0.061676754
167	0.06157666016
168	0.0614838028
169	0.06138916016
170	0.06128394318
171	0.0611675415
172	0.0610855484
173	0.06100476456
174	0.06094960022
175	0.06087219238
176	0.06082283783
177	0.06071762848
178	0.06064089203
179	0.06057266235
180	0.0604624939
181	0.06040340424
182	0.06030884552
183	0.06026273727
184	0.06017990112
185	0.06012101746
186	0.06004720688
187	0.06000466156
188	0.05993463135
189	0.05990011597
190	0.05984419632
191	0.05978831863
192	0.05974051666
193	0.05968904877
194	0.05964967346
195	0.05961217499
196	0.05957913208
197	0.05954276276
198	0.05949194336
199	0.05941283417
200	0.05935275269
201	0.05924551773
202	0.0591967659
203	0.0591098938
204	0.05904239273
205	0.05903098297
206	0.05893973541
207	0.05887905884
208	0.05884788513
209	0.05878934479
210	0.05871455383
211	0.05866360092
212	0.05855989075
213	0.05848985672
214	0.05844839478
215	0.05840811157
216	0.05836878967
217	0.05831942749
218	0.05823971558
219	0.05820060349
220	0.05816772461
221	0.05811310577
222	0.05807726669
223	0.05799262238
224	0.05794003296
225	0.05790088654
226	0.05783660889
227	0.05777837372
228	0.05771157837
229	0.05767661667
230	0.05765065002
231	0.05755557251
232	0.05748456192
233	0.05741944122
234	0.05736801147
235	0.0573312149
236	0.05725691986
237	0.05719039536
238	0.0571194725
239	0.05709403992
240	0.05703001785
241	0.0569532547
242	0.05689157867
243	0.05683397675
244	0.05677542114
245	0.05671853638
246	0.05667683411
247	0.05664732361
248	0.05662078857
249	0.05658177948
250	0.05650617599
251	0.05644194412
252	0.05639827728
253	0.05629945374
254	0.05627318954
255	0.05621606827
256	0.05616848755
257	0.05612957764
258	0.05609806061
259	0.05601369095
260	0.05595847321
261	0.05594306183
262	0.05593721771
263	0.05590072632
264	0.0558080368
265	0.05576551437
266	0.05572005844
267	0.05566903305
268	0.05564328384
269	0.05559637833
270	0.05555965042
271	0.05550779724
272	0.05546918106
273	0.05543818665
274	0.05538570404
275	0.05534447479
276	0.05531615448
277	0.05526845551
278	0.05525043488
279	0.05520635605
280	0.05513383865
281	0.05511590576
282	0.0550891037
283	0.05501019287
284	0.05496463776
285	0.05491966248
286	0.05488871765
287	0.05486655807
288	0.05478365326
289	0.05475580978
290	0.0547253685
291	0.0546598053
292	0.0546256218
293	0.05457789993
294	0.05450136185
295	0.05445193481
296	0.05441407013
297	0.05436989975
