iter	Logloss
0	0.6714171876
1	0.6532419023
2	0.6344621355
3	0.6186980331
4	0.6076098448
5	0.5938744692
6	0.582590987
7	0.5715436048
8	0.5631437859
9	0.554552577
10	0.5465772127
11	0.5407091857
12	0.5354091354
13	0.529261243
14	0.5241946316
15	0.5194428793
16	0.5153169656
17	0.5111912568
18	0.5070886724
19	0.5036720705
20	0.5003561444
21	0.4971828255
22	0.4943580342
23	0.4919304445
24	0.4898753255
25	0.4879916256
26	0.4861358321
27	0.4842339017
28	0.482440488
29	0.4809324855
30	0.4792413971
31	0.4778264432
32	0.4761340652
33	0.4745598085
34	0.4733076341
35	0.4721829864
36	0.4708547757
37	0.4699611524
38	0.4689777628
39	0.4678195553
40	0.467000997
41	0.4660142962
42	0.4657965721
43	0.4644198619
44	0.4636795859
45	0.4628475016
46	0.4621040809
47	0.4615430683
48	0.4605645944
49	0.4599969276
50	0.4590956045
51	0.4583022658
52	0.4576611184
53	0.4569070907
54	0.4563147077
55	0.4555265354
56	0.4548501634
57	0.4541125867
58	0.4535268748
59	0.4530798209
60	0.4526201354
61	0.4520089346
62	0.4515657555
63	0.450935365
64	0.450243068
65	0.449381244
66	0.4487278545
67	0.4485601219
68	0.448037018
69	0.4472482474
70	0.4467899265
71	0.4462938815
72	0.445832459
73	0.4453292248
74	0.4446344642
75	0.4441944002
76	0.444181467
77	0.4437983301
78	0.4433500372
79	0.4428107848
80	0.4421754375
81	0.4414688791
82	0.4409502326
83	0.4403065379
84	0.4400694182
85	0.4397974413
86	0.4392560549
87	0.4387535261
88	0.4384201087
89	0.4381082179
90	0.4377091567
91	0.4371827459
92	0.4367391504
93	0.4364579893
94	0.4361271017
95	0.4358318829
96	0.4354937754
97	0.4351189447
98	0.434988146
99	0.4347086366
100	0.4343631619
101	0.4337032154
102	0.4332141476
103	0.4325885424
104	0.4322558359
105	0.4317565538
106	0.4314156724
107	0.4312284688
108	0.431162703
109	0.4309416151
110	0.4303276374
111	0.4301809901
112	0.4295412848
113	0.4295215459
114	0.4290734185
115	0.4290682848
116	0.4284677932
117	0.4282650419
118	0.4277932382
119	0.4275714428
120	0.4271597079
121	0.4268725579
122	0.4266454834
123	0.4261338202
124	0.4255230696
125	0.4252232635
126	0.4250261818
127	0.4247693744
128	0.4242652752
129	0.4238878492
130	0.4236473069
131	0.4235447615
132	0.4232299476
133	0.4227615651
134	0.4221459796
135	0.4215137212
136	0.4208193745
137	0.4204878924
138	0.4204857964
139	0.4204835831
140	0.4198798881
141	0.4194608268
142	0.4191068155
143	0.4185115999
144	0.4181485683
145	0.4177454035
146	0.4175771935
147	0.4170559142
148	0.4166799461
149	0.4161285436
150	0.415945118
151	0.4155920711
152	0.4152654841
153	0.41507446
154	0.4148745974
155	0.4145245732
156	0.4141820455
157	0.4137661031
158	0.4134409491
159	0.4127882214
160	0.4127399087
161	0.4123186841
162	0.4119992234
163	0.41152388
164	0.4110640323
165	0.4105049445
166	0.4102747883
167	0.4099605906
168	0.4096153298
169	0.4090857425
170	0.4087923833
171	0.4082942028
172	0.4077492309
173	0.4073831431
174	0.4070403768
175	0.4067159185
176	0.406457984
177	0.4060790134
178	0.405637919
179	0.4051963796
180	0.4048698505
181	0.404490535
182	0.404132159
183	0.4038658198
184	0.4035211095
185	0.4031465474
186	0.4028571329
